Component Report
D:/WORKING/A.DESIGN/ROHM/06_SENSORS_EXPO/20160512/GERBER/Sensors_Expo_Demo_LED_MCU_2016-05-12.brd
Thu May 12 16:56:48 2016
Total Components:  268
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
B2,BATTERY_100MIL_VIA-2_LI-ION,Li-Ion,,100MIL_VIA-2,3426.457,1636.760,270.000,NO
C82,C_2_C0402_4.7UF,4.7uF,,C0402,2940.000,1660.000,180.000,NO
C83,C_2_C0402_4.7UF,4.7uF,,C0402,2936.000,1760.000,270.000,YES
C84,C_2_C1206_100UF,100uF,,C1206,3275.000,2005.000,270.000,YES
C85,C_2_C0402_4.7UF,4.7uF,,C0402,2820.000,1850.000,270.000,NO
C86,C_2_C0402_12PF,12pF,,C0402,2593.504,2165.739,90.000,YES
C87,C_2_C0402_12PF,12pF,,C0402,2438.504,2135.739,270.000,YES
C88,C_2_C0402_0.1UF,0.1uF,,C0402,2640.000,2135.000,90.000,YES
C89,C_2_C0402_0.1UF,0.1uF,,C0402,2820.000,1960.000,0.000,NO
C90,C_2_C0402_12PF,12pF,,C0402,2918.504,2166.169,270.000,YES
C91,C_2_C0402_12PF,12pF,,C0402,2718.504,2171.169,270.000,YES
C92,C_2_C0402_0.1UF,0.1uF,,C0402,2810.000,2015.000,90.000,NO
C93,C_2_C0402_1.0NF,1.0nF,,C0402,2498.504,2040.739,180.000,YES
C94,C_2_C0402_2.2NF,2.2nF,,C0402,2426.004,1870.739,180.000,YES
C95,C_2_C0402_47NF,47nF,,C0402,2478.504,1830.739,180.000,YES
C96,C_2_C0402_3.9PF,3.9pF,,C0402,2463.504,1955.685,180.000,YES
C97,C_2_C0402_1.0PF,1.0pF,,C0402,2408.504,1925.739,270.000,YES
C98,C_2_C0402_1.5PF,1.5pF,,C0402,2308.504,1925.739,270.000,YES
C99,C_2_C0402_1.2PF,1.2pF,,C0402,2137.304,1813.169,0.000,YES
C100,CAPACITOR NON-POL_C0402_DNP,DNP,,C0402,2137.304,1858.169,0.000,YES
C101,C_2_C1206_10UF,10uF,,C1206,3213.504,1546.169,180.000,YES
C102,C_2_C0402_120PF,120pF,,C0402,3200.000,1650.000,90.000,YES
C103,C_2_C0402_0.1UF,0.1uF,,C0402,2325.000,1495.000,90.000,YES
C104,C_2_C0402_0.1UF,0.1uF,,C0402,2120.000,2035.000,0.000,NO
C105,C_2_C0402_2200PF,2200pF,,C0402,3185.000,1810.000,180.000,YES
C106,C_2_C0402_1UF,1uF,,C0402,3203.008,1847.035,0.000,NO
C107,C_2_C1206_10UF,10uF,,C1206,3323.504,1721.169,90.000,YES
C108,C_2_C0402_0.1UF,0.1uF,,C0402,2553.504,1751.169,0.000,NO
C109,C_2_C0402_0.1UF,0.1uF,,C0402,2553.504,1791.169,0.000,NO
C110,C_2_C0402_1UF,1uF,,C0402,3195.000,1975.000,90.000,YES
C111,C_2_C0402_0.1UF,0.1uF,,C0402,3420.000,1980.000,180.000,YES
C112,C_2_C0402_1UF,1uF,,C0402,2537.165,446.496,0.000,YES
C113,C_2_C0402_1UF,1uF,,C0402,2760.000,370.000,0.000,YES
C114,C_2_C0402_1UF,1uF,,C0402,2918.504,522.165,90.000,YES
C115,C_2_C0402_1UF,1uF,,C0402,3113.504,592.165,90.000,YES
C116,C_2_C1206_10UF,10uF,,C1206,1510.157,150.693,90.000,NO
C117,C_2_C0402_1UF,1uF,,C0402,1100.000,220.000,180.000,NO
C118,C_2_C1206_10UF,10uF,,C1206,1265.693,369.843,90.000,NO
C119,C_2_C0402_120PF,120pF,,C0402,1401.063,581.205,270.000,NO
C120,C_2_C0402_1UF,1uF,,C0402,1565.693,389.843,0.000,NO
C121,C_2_C0402_2200PF,2200pF,,C0402,1491.063,506.205,90.000,NO
C122,C_2_C0402_2.2UF,2.2uF,,C0402,871.063,536.205,0.000,NO
C123,C_2_C0402_DNP,DNP,,C0402,871.063,581.205,0.000,NO
C124,C_2_C0402_1UF,1uF,,C0402,385.000,675.000,270.000,NO
C125,C_2_C0402_0.33UF,0.33uF,,C0402,866.063,711.205,0.000,NO
C126,C_2_C0402_1UF,1uF,,C0402,425.000,790.000,180.000,NO
C127,C_2_C0402_2.2NF,2.2nF,,C0402,1341.063,991.205,180.000,NO
C128,C_2_C0402_0.1UF,0.1uF,,C0402,1421.063,991.205,0.000,NO
C129,C_2_C0402_10NF,10nF,,C0402,1266.063,826.205,270.000,NO
C130,C_2_C0402_0.1UF,0.1uF,,C0402,1670.000,810.000,180.000,NO
C131,C_2_C0402_0.1UF,0.1uF,,C0402,1690.000,965.000,180.000,NO
C132,C_2_C0402_0.1UF,0.1uF,,C0402,1270.000,945.000,90.000,NO
C133,C_2_C0402_1UF,1uF,,C0402,2348.504,377.165,0.000,YES
D3,LED_1_D0402_LED,LED,,D0402,3155.000,2050.000,0.000,YES
D4,LED_0_D0402_LED,LED,,D0402,3155.000,2090.000,0.000,YES
J10,8 HEADER_HDR_1X8_100_1X8 HEADER,1x8 HEADER,,HDR_1X8_100,3032.756,1418.649,90.000,NO
J11,J15_HDR_1X2_2P54MM_HDR_1X2_2P54,HDR_1X2_2P54MM,,HDR_1X2_2P54MM,3288.504,1009.102,180.000,NO
J13,J19_1_HDR_1X2_2P54MM_HDR_1X2_2P,HDR_1X2_2P54MM,,HDR_1X2_2P54MM,1796.063,256.205,90.000,NO
L8,INDUCTOR_L0805_10UH,10uH,,L0805,2898.504,2036.169,90.000,YES
L9,INDUCTOR_L0603_15NH,15nH,,L0603,2885.000,2025.000,90.000,NO
L10,INDUCTOR_L0402_4.7NH,4.7nH,,L0402,2518.504,1933.169,270.000,YES
L11,INDUCTOR_L0402_27NH,27nH,,L0402,2483.504,1887.739,270.000,YES
L12,INDUCTOR_L0402_3.3NH,3.3nH,,L0402,2358.504,1955.739,0.000,YES
L13,INDUCTOR_INDM3838X165_4.7UH,4.7uH,,INDM3838X165,3248.008,1517.035,90.000,NO
L14,INDUCTOR_INDM3735X180_4.7UH,4.7uH,,INDM3735X180,1355.000,175.000,180.000,NO
P23,TP_TH_63MIL_RED_TP_TH_TP_TH_63M,TP_TH_63MIL_RED,,TP_TH,260.000,735.000,270.000,NO
Q4,MOSFET N_0_EMT3_RE1C002UNTCL,RE1C002UNTCL,,EMT3,2568.504,1556.169,0.000,NO
Q5,MOSFET N_0_EMT3_RE1C002UNTCL,RE1C002UNTCL,,EMT3,2478.504,1558.169,0.000,NO
Q6,MOSFET N_0_EMT3_RE1C002UNTCL,RE1C002UNTCL,,EMT3,2663.504,1556.169,0.000,NO
Q7,DUAL N-CH MOSFET 126_ROHM_EM6K1,EM6K1T2R,,ROHM_EM6K1_SOT-416,2888.504,1024.102,90.000,YES
Q8,DUAL N-CH MOSFET 126_ROHM_EM6K1,EM6K1T2R,,ROHM_EM6K1_SOT-416,2888.504,889.102,90.000,YES
Q9,DUAL N-CH MOSFET 126_ROHM_EM6K1,EM6K1T2R,,ROHM_EM6K1_SOT-416,2313.504,104.102,0.000,YES
Q10,DUAL N-CH MOSFET 126_ROHM_EM6K1,EM6K1T2R,,ROHM_EM6K1_SOT-416,2723.504,104.102,0.000,YES
Q11,DUAL N-CH MOSFET 126_ROHM_EM6K1,EM6K1T2R,,ROHM_EM6K1_SOT-416,2518.504,104.102,0.000,YES
Q12,DUAL N-CH MOSFET 126_ROHM_EM6K1,EM6K1T2R,,ROHM_EM6K1_SOT-416,2928.504,104.102,0.000,YES
Q13,DUAL N-CH MOSFET 126_ROHM_EM6K1,EM6K1T2R,,ROHM_EM6K1_SOT-416,3133.504,104.102,0.000,YES
Q14,DUAL N-CH MOSFET 126_ROHM_EM6K1,EM6K1T2R,,ROHM_EM6K1_SOT-416,3338.504,104.102,0.000,YES
R70,RESISTOR_R0402_51K,51k,,R0402,3295.000,1990.000,270.000,NO
R71,RESISTOR_R0402_51K,51k,,R0402,3295.000,1920.000,90.000,NO
R72,RESISTOR_R0402_43,43,,R0402,2588.504,1646.169,90.000,NO
R73,RESISTOR_R0402_56,56,,R0402,2548.504,1646.169,90.000,NO
R74,RESISTOR_R0402_43,43,,R0402,2508.504,1646.169,270.000,NO
R75,RESISTOR_R0402_10K,10k,,R0402,2765.000,1795.000,90.000,NO
R76,RESISTOR_R0402_10K,10k,,R0402,2860.000,1925.000,180.000,NO
R77,RESISTOR_R0402_0,0,,R0402,2246.504,1955.739,0.000,YES
R78,RESISTOR_R0402_56K,56k,,R0402,3135.000,1650.000,90.000,YES
R79,RESISTOR_R0402_4.7K,4.7k,,R0402,3150.000,1705.000,180.000,YES
R80,RESISTOR_R0402_10K,10k,,R0402,2295.000,1385.000,180.000,YES
R81,RESISTOR_R0402_10K,10k,,R0402,2265.000,1470.000,180.000,YES
R82,RESISTOR_R0402_10K,10k,,R0402,2265.000,1505.000,180.000,YES
R83,RESISTOR_R0402_10K,10k,,R0402,2309.000,2113.000,90.000,NO
R84,RESISTOR_R0402_10K,10k,,R0402,2370.000,2080.000,0.000,NO
R85,RESISTOR_R0402_10K,10k,,R0402,2370.000,2040.000,0.000,NO
R86,RES_1K_1%_1/8W_0_R0402_10K,10k,,R0402,3200.000,1750.000,180.000,YES
R87,RESISTOR_R0402_4.7K,4.7k,,R0402,3130.000,1795.000,90.000,YES
R88,RESISTOR_R0402_39K,39k,,R0402,3150.000,1855.000,270.000,NO
R89,RESISTOR_R0402_0,0,,R0402,3278.008,1847.035,0.000,NO
R90,RESISTOR_R0402_2K,2k,,R0402,3290.000,2045.000,180.000,NO
R91,RESISTOR_R0402_200,200,,R0402,3155.000,1975.000,90.000,YES
R92,RESISTOR_R0402_200,200,,R0402,3115.000,1975.000,90.000,YES
R93,RESISTOR_R0402_10K,10k,,R0402,2765.000,1720.000,270.000,NO
R94,RESISTOR_R0402_10K,10k,,R0402,2860.000,1650.000,270.000,NO
R95,RESISTOR_R0402_10K,10k,,R0402,2840.000,1565.000,0.000,NO
R96,RESISTOR_R0402_10K,10k,,R0402,2700.504,1646.169,270.000,NO
R97,RESISTOR_R0402_10K,10k,,R0402,2740.504,1646.169,270.000,NO
R98,RES_1K_1%_1/8W_0_R0402_180,180,,R0402,2228.504,252.165,0.000,YES
R99,RES_1K_1%_1/8W_0_R0402_36,36,,R0402,2228.504,297.165,0.000,YES
R100,RES_1K_1%_1/8W_0_R0402_22,22,,R0402,2228.504,342.165,0.000,YES
R101,RES_1K_1%_1/8W_0_R0402_180,180,,R0402,2228.504,387.165,0.000,YES
R102,RES_1K_1%_1/8W_0_R0402_36,36,,R0402,2228.504,432.165,0.000,YES
R103,RES_1K_1%_1/8W_0_R0402_22,22,,R0402,2228.504,477.165,0.000,YES
R104,RES_1K_1%_1/8W_0_R0402_180,180,,R0402,2228.504,522.165,0.000,YES
R105,RES_1K_1%_1/8W_0_R0402_36,36,,R0402,2228.504,567.165,0.000,YES
R106,RES_1K_1%_1/8W_0_R0402_22,22,,R0402,2228.504,612.165,0.000,YES
R107,RES_1K_1%_1/8W_0_R0402_180,180,,R0402,2228.504,657.165,0.000,YES
R108,RES_1K_1%_1/8W_0_R0402_36,36,,R0402,2228.504,702.165,0.000,YES
R109,RES_1K_1%_1/8W_0_R0402_22,22,,R0402,2228.504,747.165,0.000,YES
R110,RES_1K_1%_1/8W_0_R0402_180,180,,R0402,2228.504,792.165,0.000,YES
R111,RES_1K_1%_1/8W_0_R0402_36,36,,R0402,2228.504,837.165,0.000,YES
R112,RES_1K_1%_1/8W_0_R0402_22,22,,R0402,2302.835,863.504,90.000,YES
R113,RES_1K_1%_1/8W_0_R0402_180,180,,R0402,2586.496,377.835,270.000,YES
R114,RES_1K_1%_1/8W_0_R0402_36,36,,R0402,2437.165,376.496,270.000,YES
R115,RES_1K_1%_1/8W_0_R0402_22,22,,R0402,2506.496,302.835,180.000,YES
R116,RES_1K_1%_1/8W_0_R0402_180,180,,R0402,2523.504,542.165,270.000,YES
R117,RES_1K_1%_1/8W_0_R0402_36,36,,R0402,2467.835,454.165,90.000,YES
R118,RES_1K_1%_1/8W_0_R0402_22,22,,R0402,2466.496,572.835,180.000,YES
R119,RES_1K_1%_1/8W_0_R0402_180,180,,R0402,2523.504,617.165,90.000,YES
R120,RES_1K_1%_1/8W_0_R0402_36,36,,R0402,2423.504,612.165,0.000,YES
R121,RES_1K_1%_1/8W_0_R0402_22,22,,R0402,2488.504,727.165,180.000,YES
R122,RES_1K_1%_1/8W_0_R0402_180,180,,R0402,2593.504,792.165,270.000,YES
R123,RES_1K_1%_1/8W_0_R0402_36,36,,R0402,2430.000,790.000,0.000,YES
R124,RES_1K_1%_1/8W_0_R0402_22,22,,R0402,2497.835,798.504,90.000,YES
R125,RES_1K_1%_1/8W_0_R0402_180,180,,R0402,2830.000,350.000,90.000,YES
R126,RES_1K_1%_1/8W_0_R0402_36,36,,R0402,2680.000,385.000,180.000,YES
R127,RES_1K_1%_1/8W_0_R0402_22,22,,R0402,2598.504,452.165,90.000,YES
R128,RES_1K_1%_1/8W_0_R0402_180,180,,R0402,2767.835,593.504,180.000,YES
R129,RES_1K_1%_1/8W_0_R0402_36,36,,R0402,2666.504,593.504,270.000,YES
R130,RES_1K_1%_1/8W_0_R0402_22,22,,R0402,2603.504,617.165,0.000,YES
